major,school,degree_level,academic_year,plan_status,requirement_group,course_code,course_title,course_type,credit_hours,prerequisites,source_page,source
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,10101100,Workshop I,,,-,3,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,10303100,Functional Physics,,,-,3,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,10303110,Functional Math,,,-,3,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400251,Construction Environment,,,-,6,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400252,Tendering and Procurement,,,50400251,6,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400253,Site Supervision & Operations,,,50400251,6,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400254,Legal & Statutory Responsibilities in Construction,,,50400251,6,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400351,Project Management,,,50400251,6,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400352,Contracts & Management,,,50400252,7,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400471,Integrated Design I,,,50401172,6,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400472,Integrated Design II,,,50400471,6,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400481,Work Integrated Learning I,,,Successfully completed 96 CH + Entrepreneurship Bootcamp,7,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400482,Work Integrated Learning II,,,50400481,7,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400533,Measurement and Cost Estimate,,,50401121,5,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400552,Standard Forms of Contract for Construction (FIDIC),,,50400252,5,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,School of Built Environment Engineering,BSc,,current,School Requirements,50400554,Digital Construction Planning,,,50400471,5,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
