source,document_type,language,programme_or_scope,academic_year_or_version,verification_status
73f333d7-5819-ed11-b847-00155d140b05_f3badd12ad3f4e079cb16443be5bbf11.pdf,Official study plan,English,Energy Engineering - BSc,2022/2023 or 2023,Indexed
73f333d7-5819-ed11-b847-00155d140b05_dfa802bd63304a1aa7176d91b73ea434.pdf,Official study plan,English,Industrial Engineering - BSc,2022/2023 or 2023,Indexed
73f333d7-5819-ed11-b847-00155d140b05_4d459081a0444778a3f176d714b3c201.pdf,Official study plan,English,Industrial Engineering - Technical,2022/2023 or 2023,Indexed
73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf,Official study plan,English,Architectural Engineering - BSc,2022/2023 or 2023,Indexed
73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf,Official study plan,English,Architectural Engineering - Technical,2022/2023 or 2023,Indexed
73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf,Official study plan,English,Architectural Engineering - Technician,2022/2023 or 2023,Indexed
نظام منح الدرجات العلمية و الشهادات.pdf,University regulation,Arabic,Degrees and certificates,2017,Indexed
نظام البرامج الجامعية المتوسطة.pdf,University regulation,Arabic,Intermediate university programmes,2018,Partially indexed; scanned document
النظام المالي.pdf,University regulation,Arabic,Financial governance,2016,Partially indexed
النظام الأساسي.pdf,University regulation,Arabic,"University identity, governance and objectives",2016,Indexed
73f333d7-5819-ed11-b847-00155d140b05_15cd7ad37c9b480c8941328a146fec6e.pdf,Official study plan,English,Cyber Security - Technical,Current uploaded version,Indexed and current
73f333d7-5819-ed11-b847-00155d140b05_f6979bdb96b1410f9409d547020c9359.pdf,Official study plan,English,Energy Engineering - Technical,2022,Indexed and current
73f333d7-5819-ed11-b847-00155d140b05_f29740927fdd4edd97318d1a9a9ad684.pdf,Official study plan,English,Energy Engineering - BSc,2019,Archived or duplicate
73f333d7-5819-ed11-b847-00155d140b05_21f85505140f47e7b9301487f2c56364.pdf,Official study plan,English,Data Science and Artificial Intelligence - BSc,Current uploaded version,Indexed and current
73f333d7-5819-ed11-b847-00155d140b05_14e97f0f4b0d4574acc5891501674540.pdf,Official study plan,English,Data Science and Artificial Intelligence - Technical,Current uploaded version,Indexed and current
73f333d7-5819-ed11-b847-00155d140b05_53c8f675f3ca4629ba0f4a37a0dc5d38.pdf,Official study plan,English,Data Science and Artificial Intelligence - BSc,Older uploaded version,Archived or duplicate
73f333d7-5819-ed11-b847-00155d140b05_a5f16efa559d481cac6cc29f1cb2d9dc.pdf,Official study plan,English,Electrical Engineering - BSc,2022,Indexed and current
73f333d7-5819-ed11-b847-00155d140b05_2c51c9ef2be44c07bbef01112b5a0a1d.pdf,Official study plan,English,Electrical Engineering - Technical,2022,Indexed and current
73f333d7-5819-ed11-b847-00155d140b05_4f9b7f5660f34114be0a39708440b98a.pdf,Official study plan,English,Electrical Engineering - BSc,2022 duplicate,Archived or duplicate
73f333d7-5819-ed11-b847-00155d140b05_dc244d83a4674f8e960344332e7374d7.pdf,Official study plan,English,Cyber Security - BSc,Current uploaded version,Indexed and current
73f333d7-5819-ed11-b847-00155d140b05_dc244d83a4674f8e960344332e7374d7(1).pdf,Official study plan,English,Cyber Security - BSc,Current uploaded version,Tracked as duplicate or alternative version
73f333d7-5819-ed11-b847-00155d140b05_15cd7ad37c9b480c8941328a146fec6e(1).pdf,Official study plan,English,Cyber Security - Technical,Current uploaded version,Tracked as duplicate or alternative version
73f333d7-5819-ed11-b847-00155d140b05_c0769b4e1af74102aa66d944444c4805.pdf,Official study plan,English,Cyber Security - BSc,Alternative current version,Tracked as duplicate or alternative version
73f333d7-5819-ed11-b847-00155d140b05_1c0069b53f02468782eb8d730f63e467.pdf,Official study plan,English,Computer Science - BSc,Current uploaded version,Indexed and current
73f333d7-5819-ed11-b847-00155d140b05_fe5c3d8583084046b54b99784d0ed024.pdf,Official study plan,English,Computer Science - Technical,Current uploaded version,Indexed and current
73f333d7-5819-ed11-b847-00155d140b05_7f90de28460448f5b469be7fc7abd512 (1).pdf,Official study plan,English,Computer Science - BSc,Current uploaded version,Tracked as duplicate or alternative version
3c891da3-1138-eb11-9240-00155d404d09_c53e447fe6954c489d9c7264cb43c6e0.pdf,Official study plan,Arabic / English,Game Design and Development - Technician,2023,Tracked as duplicate or alternative version
3c891da3-1138-eb11-9240-00155d404d09_fa9e0e99ae774274bc84a8ca9fd349d4.pdf,Official study plan,English,Mechanical Engineering - BSc,"2022, version Jan. 2025",Indexed and current
3c891da3-1138-eb11-9240-00155d404d09_6248166ed38c49679238097d5d4336e1.pdf,Official study plan,English,Mechanical Engineering - BSc,"2022, version Jan. 2025",Tracked as duplicate or alternative version
3c891da3-1138-eb11-9240-00155d404d09_7f1db790bf014490b153a7cbcdc5d7a6(2).pdf,Official study plan,English,Mechanical Engineering - BSc,"2022, version Jan. 2025",Tracked as duplicate or alternative version
