programme_title,degree_level,academic_year,plan_status,total_credit_hours,indexed_course_count,summary,source_page,source
Architectural Engineering,BSc,,current,172,79,"Official BSc study plan indexed with course codes, credit hours and prerequisites where extractable.",all,73f333d7-5819-ed11-b847-00155d140b05_de4c2204703a4f01be2ef1b0dcbc097b.pdf
Architectural Engineering,Technical,,current,136,49,"Official Technical study plan indexed with course codes, credit hours and prerequisites where extractable.",all,73f333d7-5819-ed11-b847-00155d140b05_9eeab80faa5d40f1a129a13709564577.pdf
Architectural Engineering,Technician,,current,76,22,"Official Technician study plan indexed with course codes, credit hours and prerequisites where extractable.",all,73f333d7-5819-ed11-b847-00155d140b05_e1bd4d57884d49239f08692eed714902.pdf
Computer Science,BSc,Current uploaded version,current,87,47,Official BSc study plan with 87 credit hours.,all,73f333d7-5819-ed11-b847-00155d140b05_1c0069b53f02468782eb8d730f63e467.pdf
Computer Science,Technical,Current uploaded version,current,63,31,Official Technical study plan with 63 credit hours.,all,73f333d7-5819-ed11-b847-00155d140b05_fe5c3d8583084046b54b99784d0ed024.pdf
Cyber Security,BSc,Alternative current version,archived,87,16,Official BSc study plan with 87 credit hours.,all,73f333d7-5819-ed11-b847-00155d140b05_c0769b4e1af74102aa66d944444c4805.pdf
Cyber Security,BSc,Current uploaded version,current,87,46,Official BSc study plan with 87 credit hours.,all,73f333d7-5819-ed11-b847-00155d140b05_dc244d83a4674f8e960344332e7374d7.pdf
Cyber Security,Technical,Current uploaded version,current,63,30,Official Technical study plan with 63 credit hours.,all,73f333d7-5819-ed11-b847-00155d140b05_15cd7ad37c9b480c8941328a146fec6e.pdf
Data Science and Artificial Intelligence,BSc,Older uploaded version,archived,87,16,Official BSc study plan with 87 credit hours.,all,73f333d7-5819-ed11-b847-00155d140b05_53c8f675f3ca4629ba0f4a37a0dc5d38.pdf
Data Science and Artificial Intelligence,BSc,Current uploaded version,current,87,52,Official BSc study plan with 87 credit hours.,all,73f333d7-5819-ed11-b847-00155d140b05_21f85505140f47e7b9301487f2c56364.pdf
Data Science and Artificial Intelligence,Technical,Current uploaded version,current,63,31,Official Technical study plan with 63 credit hours.,all,73f333d7-5819-ed11-b847-00155d140b05_14e97f0f4b0d4574acc5891501674540.pdf
Electrical Engineering,BSc,2022,current,166,63,Official BSc study plan with 166 credit hours.,all,73f333d7-5819-ed11-b847-00155d140b05_a5f16efa559d481cac6cc29f1cb2d9dc.pdf
Electrical Engineering,Technical,2022,current,132,55,Official Technical study plan with 132 credit hours.,all,73f333d7-5819-ed11-b847-00155d140b05_2c51c9ef2be44c07bbef01112b5a0a1d.pdf
Energy Engineering,BSc,2019,archived,166,0,Official BSc study plan with 166 credit hours.,all,73f333d7-5819-ed11-b847-00155d140b05_f29740927fdd4edd97318d1a9a9ad684.pdf
Energy Engineering,BSc,,current,166,74,"Official BSc study plan indexed with course codes, credit hours and prerequisites where extractable.",all,73f333d7-5819-ed11-b847-00155d140b05_f3badd12ad3f4e079cb16443be5bbf11.pdf
Energy Engineering,Technical,2022,current,132,55,Official Technical study plan with 132 credit hours.,all,73f333d7-5819-ed11-b847-00155d140b05_f6979bdb96b1410f9409d547020c9359.pdf
Game Design and Development,Technician,,current,72.0,26,"Official study plan indexed with 0 course records, including course codes, credit hours, requirement groups, and prerequisites where available.",all,GameDesign_studyplan(2).pdf
Industrial Engineering,BSc,,current,166,58,"Official BSc study plan indexed with course codes, credit hours and prerequisites where extractable.",all,73f333d7-5819-ed11-b847-00155d140b05_dfa802bd63304a1aa7176d91b73ea434.pdf
Industrial Engineering,Technical,,current,132,46,"Official Technical study plan indexed with course codes, credit hours and prerequisites where extractable.",all,73f333d7-5819-ed11-b847-00155d140b05_4d459081a0444778a3f176d714b3c201.pdf
Mechanical Engineering,BSc,"2022, version Jan. 2025",current,166,88,Official BSc study plan with 166 credit hours.,all,3c891da3-1138-eb11-9240-00155d404d09_fa9e0e99ae774274bc84a8ca9fd349d4.pdf
